objectId,inSize,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,arrPrep,merge3,genEnv,witness
no62772,411,122,974,974,974,1262,2330,2330,2330,2330,2264,5
no89521,411,223,1233,1233,1233,1749,3588,3588,3595,3588,3541,4
no13435,412,172,895,895,895,1358,2631,2631,2631,2631,6219,5
no90950,412,139,312,312,312,419,589,589,589,589,1899,4
no26956,413,102,2698,2698,2676,4916,3723,3723,3745,3723,1103,4
no70518,413,148,1654,1654,1654,2134,1671,1671,1671,1671,1095,4
no12490,414,132,680,680,560,808,875,875,875,875,2318,5
no81574,414,159,911,911,854,1285,2592,2592,2592,2592,4693,5
no17654,414,166,1366,1366,1366,1989,3334,3334,3334,3334,3602,4
no21477,415,190,1021,1021,969,1349,2018,2018,2018,2018,4152,5
no74022,415,175,905,905,810,1158,1965,1965,1965,1965,4576,4
no42212,415,161,665,665,622,995,1699,1699,1699,1699,4536,4
no69511,416,128,501,501,501,677,1196,1196,1196,1196,1876,5
no71448,416,117,522,522,522,791,1203,1203,1203,1203,3025,4
no82290,416,94,446,446,359,466,635,635,635,635,1921,5
no79705,418,170,746,746,746,1090,1800,1800,1800,1800,3930,5
no41729,419,112,469,469,469,640,1389,1389,1389,1389,3148,5
no6167,420,172,1190,1190,1125,1627,3029,3029,3029,3029,3558,5
no10086,421,236,1188,1188,996,1354,2591,2591,2591,2591,4697,5
no67623,421,46,123,123,123,177,177,177,177,177,813,5
no9857,421,187,1073,1073,1015,1453,2407,2407,2407,2407,4023,4
no39871,422,176,863,863,863,1119,2423,2423,2423,2423,3383,4
no36250,422,83,295,295,295,359,359,359,359,359,897,4
no28259,423,213,1387,1387,1259,1909,4093,4093,4093,4093,4868,4
no85971,425,106,497,497,477,725,828,828,828,828,2089,15
no41787,425,98,442,442,442,581,792,792,792,792,2136,5
no10468,426,153,835,835,810,1206,1312,1312,1312,1312,3256,5
no46299,426,83,743,743,743,935,812,812,812,812,965,5
no71450,426,93,417,417,417,545,878,878,878,878,1927,4
no55685,426,122,646,646,639,897,1589,1589,1589,1589,2248,5
no25701,427,198,1297,1297,1297,1779,3283,3283,3283,3283,3420,4
no73043,428,137,576,576,556,868,1548,1548,1548,1548,4110,5
no43974,428,180,1059,1059,1003,1441,2393,2393,2393,2393,4010,5
no58637,428,179,747,747,747,1080,2124,2124,2124,2124,6482,5
no68306,429,128,590,590,590,750,1302,1302,1302,1302,2220,4
no6219,429,141,735,735,701,959,1458,1458,1458,1458,2619,4
no14471,430,147,725,725,694,995,1977,1977,1977,1977,3988,4
no69499,430,135,488,488,488,651,1341,1341,1341,1341,3142,5
no24544,430,115,518,518,518,787,1199,1199,1199,1199,3021,4
no76664,430,160,963,963,903,1320,1956,1956,1956,1956,4000,5
no16365,431,166,864,864,834,1167,2192,2192,2192,2192,4263,5
no83301,431,177,757,757,737,1113,2304,2304,2304,2304,5223,5
no29024,431,136,731,731,671,969,1301,1301,1301,1301,3710,5
no79442,432,157,865,865,761,1062,1821,1821,1821,1821,3663,4
no81723,432,137,514,514,471,780,835,835,835,835,2681,4
